draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bFT,bMVP,bWP,bER,sigma
93,130.95657227683017,0.8942248003156383,0.4880592379583002,3.0,7.0,0.0,-129.58173187655814,0.2681467568360213,0.055986419046632166,0.028490505329831894,0.24523714496082552,0.033000259993352904,0.20530008455224155
94,123.10474204270956,0.9576101650156138,0.5356568055523541,3.0,7.0,0.0,-121.50562892627391,0.2545086851674928,0.13307910446651516,0.01572846589675493,0.12823938462952564,0.09035456633386162,0.21753925344048144
95,130.81089025777297,0.9751536016832689,0.5550471485189914,3.0,7.0,0.0,-128.14096948843022,0.275047314115431,0.08952485621949934,0.0586982478200978,0.17911740527138292,0.0457976224304974,0.1869052763327926
96,130.3545925449713,0.8298633496161167,0.5593889784633831,3.0,7.0,0.0,-126.6370065016269,0.2933297564877027,0.10465036983609434,0.04684377111785711,0.1639193446461925,0.06866256210740045,0.2055593546759506
97,132.4777100014825,0.9951946444845794,0.4880592379583002,3.0,7.0,0.0,-130.42515049809643,0.28023746564936497,0.06361619602978658,0.03706734334396693,0.1946588537497112,0.06644873434046379,0.19033220302812817
98,125.45117998973498,1.0,0.5356568055523541,3.0,7.0,0.0,-121.05025018393854,0.29428203629965255,0.03436132265888327,0.05665400798148096,0.23438265468153524,-0.014532200481868582,0.18679307298554873
99,129.86605879691876,0.8633576176144974,0.5550471485189914,3.0,7.0,0.0,-127.96433957960652,0.2771467247596985,0.052301105943260734,0.023748734508653595,0.23476528634493168,0.07465728068096056,0.1974296285217394
100,127.56100108914579,0.6649801923893152,0.5593889784633831,2.0,7.0,0.0,-123.97195067733063,0.2622360613050678,0.056150151820012706,0.03755485082564676,0.18181482318896913,0.10840527000042156,0.1827506765386703
101,132.56680501102332,0.8845733198621953,0.4880592379583002,2.0,7.0,0.0,-129.706764680197,0.269957980423902,0.07767448616138298,0.03491242597501763,0.2047964732756865,0.05640717281315104,0.19891034514995778
102,127.86317717495007,1.0,0.5356568055523541,2.0,3.0,0.0,-124.17317827636471,0.27015041007335977,0.05634512696606931,0.06735327774551993,0.25852592221261517,0.013745061686716395,0.18799807556629616
103,131.8916714237029,1.0,0.5550471485189914,3.0,7.0,0.0,-129.56573920482032,0.2722959840458132,0.05218177603883029,0.04363656969976875,0.20517514881234766,0.04265873866546777,0.2012486271499855
104,130.33678392453973,1.0,0.5593889784633831,2.0,3.0,0.0,-126.79740282995847,0.2668776444911581,0.0595317653944398,0.041839784247635556,0.18144714597165645,0.08100905511037551,0.17990974401548251
105,132.70390944103312,0.917439681421489,0.4880592379583002,3.0,7.0,0.0,-129.32354905647995,0.2894071329615774,0.07495385759721997,0.04233632226212221,0.20029601707519284,0.054788982322756356,0.19580014726785694
106,128.7777671332484,0.985821163428849,0.5356568055523541,3.0,7.0,0.0,-125.22086683515828,0.2679949730681551,0.07669249728663505,0.01735480962579071,0.17478967361850645,0.07903700720044496,0.22564080118147792
107,130.2219232499971,0.7649015259190934,0.5550471485189914,3.0,7.0,0.0,-126.67603138509477,0.28643586374604624,0.06818609964674195,0.028078439421332615,0.18931773777746674,0.033363157120570544,0.19280832718193716
108,129.51718447381683,0.9804842128651653,0.5593889784633831,3.0,7.0,0.0,-128.16501248859248,0.29529461978472504,0.1028853600269965,0.04951323942146258,0.19622130061137055,0.0465278873316259,0.21893662879123024
109,131.51953722942244,0.8435496035552158,0.4880592379583002,2.0,7.0,0.0,-128.60598549574445,0.29107517508068703,0.058451297034098265,0.061101853170127465,0.19216986358475077,0.05039624263152953,0.1967478094372081
